created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Jan 20 13:00:00 +0000 2024;1748691850548920444;"PT Lajuland bangun destinasi wisata Lakeview di IKN. Mengubah lahan bekas tambang batu bara menjadi spot milenial yang menarik. Dari Rainbow Slide hingga Skywalk, siap memanjakan pengunjung.  #destinasiwisata #ikn #lahanbekastambang https://t.co/Fy9xHojSvy";0;0;0;0;in;3312427500;1748691850548920444;prokaldotco;https://twitter.com/prokaldotco/status/1748691850548920444
Sat Jan 20 11:00:00 +0000 2024;1748661649504866491;"Pusat Pelatihan PSSI di IKN mendapat perhatian Presiden Jokowi. Progres pembangunan 20%, target selesai Mei 2024. Harapan besar untuk lahirnya atlet berkelas dunia dari Indonesia.  #pusatpelatihanpssi #ikn https://t.co/4NsgaalovP";0;0;0;0;in;3312427500;1748661649504866491;prokaldotco;https://twitter.com/prokaldotco/status/1748661649504866491
Sat Jan 20 07:00:02 +0000 2024;1748601259689656724;"Brunei Darussalam menyatakan minat investasi di Ibu Kota Nusantara. Presiden Jokowi 'mengantongi' Letter of Acceptance senilai Rp 7 triliun dari konsorsium internasional. Peluang kolaborasi menuju pusat pertumbuhan ekonomi baru.  #ikn #investasi #jokowi https://t.co/9XNuuFLyFi";0;0;0;0;in;3312427500;1748601259689656724;prokaldotco;https://twitter.com/prokaldotco/status/1748601259689656724
Sat Jan 20 03:50:56 +0000 2024;1748553671611387934;"Ibu Kota Nusantara  #jokowi #presidenjokowi  #ikn #ibukotanusantara #ibukotabaru #indonesiaemas #indonesiamaju #sekociindonesia https://t.co/IkAvpIbTNH";0;0;0;0;in;1733873243117989888;1748553671611387934;sekociindonesia;https://twitter.com/sekociindonesia/status/1748553671611387934
Sat Jan 20 03:31:27 +0000 2024;1748548770277773378;"Jahil murokkab adalah mengalihkan dana pendidikan utk  infrastruktur...😡😠😡  #lpdp #ikn";0;1;1;3;in;34231385;1748548770277773378;Iyan_KH;https://twitter.com/Iyan_KH/status/1748548770277773378
Sat Jan 20 02:50:43 +0000 2024;1748538517867950418;"Pelaksanaan pembangunannya dimulai sejak November 2023 dan ditargetkan selesai pada Desember 2024.  #medcomid #ikn #masjid #klenteng #pura #vihara #gereja #katedral #masjidnegara";0;0;0;0;in;902837643024539651;1748538512268222528;medcom_id;https://twitter.com/medcom_id/status/1748538517867950418
Sat Jan 20 02:50:43 +0000 2024;1748538515648897296;"Tahap pertama akan dibangun sebuah masjid yang menampung jemaah dengan kapasitas 61.392 orang dengan total biaya konstruksi sebesar Rp991 miliar.  #medcomid #ikn #masjid #klenteng #pura #vihara #gereja #katedral #masjidnegara";0;1;0;0;in;902837643024539651;1748538512268222528;medcom_id;https://twitter.com/medcom_id/status/1748538515648897296
Sat Jan 20 02:50:42 +0000 2024;1748538512268222528;"Menurut Sobat Medcom oke gak?  Pemerintah terus memulai pembangunan kawasan peribadatan yang terdiri dari masjid, gereja, katedral, vihara, pura, dan klenteng di Ibu Kota Nusantara (IKN),  #medcomid #ikn #masjid #klenteng #pura #vihara #gereja #katedral #masjidnegara https://t.co/zlzjuqbnTf";0;1;0;0;in;902837643024539651;1748538512268222528;medcom_id;https://twitter.com/medcom_id/status/1748538512268222528
Sat Jan 20 01:04:00 +0000 2024;1748511660300718096;"Dampingi Presiden Jokowi Tinjau IKN, Erick Thohir Optimistis Training Center PSSI Selesai Bulan Mei.  #bolaskorcom #pssi #erickthohir #jokowi #ikn  https://t.co/aR70NdrTLx";0;0;0;0;in;940477788959555584;1748511660300718096;bolaskorcom;https://twitter.com/bolaskorcom/status/1748511660300718096
Sat Jan 20 00:37:09 +0000 2024;1748504904350527763;"infrastruktur di IKN #IKN #IbuKotaNegara #PembangunanIKN #IKNNusantara #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #NusantaraKita https://t.co/BENgamUvoG";0;0;0;0;in;1720700094901891072;1748504904350527763;anjani1369;https://twitter.com/anjani1369/status/1748504904350527763
Sat Jan 20 00:36:35 +0000 2024;1748504761824125027;"infrastruktur di IKN #IKN #IbuKotaNegara #PembangunanIKN #IKNNusantara #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #NusantaraKita https://t.co/sutzhsUSWG";0;0;0;0;in;1720700094901891072;1748504761824125027;anjani1369;https://twitter.com/anjani1369/status/1748504761824125027
Sat Jan 20 00:36:04 +0000 2024;1748504632136290436;"infrastruktur di IKN #IKN #IbuKotaNegara #PembangunanIKN #IKNNusantara #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #NusantaraKita https://t.co/SniOw0Jx9a";0;0;0;0;in;1720700094901891072;1748504632136290436;anjani1369;https://twitter.com/anjani1369/status/1748504632136290436
Sat Jan 20 00:35:37 +0000 2024;1748504516415430824;"infrastruktur di IKN #IKN #IbuKotaNegara #PembangunanIKN #IKNNusantara #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #NusantaraKita https://t.co/HoRdvk5oog";0;0;0;0;in;1720700094901891072;1748504516415430824;anjani1369;https://twitter.com/anjani1369/status/1748504516415430824
Sat Jan 20 00:35:05 +0000 2024;1748504383543750915;"infrastruktur di IKN #IKN #IbuKotaNegara #PembangunanIKN #IKNNusantara #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #NusantaraKita https://t.co/1ZhADsNfpG";0;0;0;0;in;1720700094901891072;1748504383543750915;anjani1369;https://twitter.com/anjani1369/status/1748504383543750915
Sat Jan 20 00:34:33 +0000 2024;1748504251113070824;"infrastruktur di IKN #IKN #IbuKotaNegara #PembangunanIKN #IKNNusantara #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #NusantaraKita https://t.co/0TmhyQM9gc";0;0;0;0;in;1720700094901891072;1748504251113070824;anjani1369;https://twitter.com/anjani1369/status/1748504251113070824
