created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Jan 20 23:59:27 +0000 2024;1748857805124383209;@eRmuds @ajengcute16__ Bagus ni sekalian tag aja ke AHY dan demokrat..biar reunian ama Candi Hambalang tu IKN odong2an 🤣🤣🤣;0;1;0;0;in;1208262549323431936;1748687334357483868;dvl202520;https://twitter.com/dvl202520/status/1748857805124383209
Sat Jan 20 23:57:05 +0000 2024;1748857207914106889;Prabowo Klaim IKN Puaskan Masyarakat Kalimantan: Rakyat Sangat Antusias https://t.co/uOJKNRUrgD;0;0;0;0;in;58880688;1748857207914106889;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1748857207914106889
Sat Jan 20 23:45:43 +0000 2024;1748854347415568800;"@Zero8ok @prabowo @99propaganda @alextham878 @are_inismyname @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @KhoirilAnwar_ @Ndons_Back @PapaBowoCenter Yah dayaknya dy juga yg dukung IKN tolong, mau maju sendiri daerahnya ga mikirin daerah laen""";0;0;1;0;in;111226133;1748646691312677163;Penyintas22;https://twitter.com/Penyintas22/status/1748854347415568800
Sat Jan 20 23:43:30 +0000 2024;1748853792781803833;Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) akan membangun Memorial Park di Ibu Kota Nusantara (IKN), Kalimantan Timur. Pembangunan Memorial Park ini, guna untuk menghormati jasa para pahlawan bangsa.  Nana Mirdad Bahrain Bali Bank Mandiri Yessica Tamara https://t.co/anPsEl5ZJU;1;2;18;18;in;988378254;1748853792781803833;riegosee;https://twitter.com/riegosee/status/1748853792781803833
Sat Jan 20 23:39:25 +0000 2024;1748852761180168420;345 investor minat garap proy3k IKN. Diantaranya ada China dan Arab Saudi.  OIKN mencatatkan 345  pernyataan minat investasi dari investor dalam dan luar negeri yang ingin ikut bergabung menggarap IKN Nusantara.  Nana Mirdad Bahrain Bali Bank Mandiri Yessica Tamara https://t.co/QtbicqdUS4;2;2;14;17;in;2907040202;1748852761180168420;Anggita_lung;https://twitter.com/Anggita_lung/status/1748852761180168420
Sat Jan 20 23:33:59 +0000 2024;1748851396689183227;@bgengkarawang @Dennysiregar7 Sangat logis, kecuali orang yg saat ini menutup logika berpikirnya, prororo itu cuma wayang, masternya pakdhe, bukti:  program kerja 02 Melanjutkan program pakdhe, nah coba bayangkan yg bakal nego sama investor ikn siapa? Prororo atau lanjut pakdhe sekalian ngorbitin samsul?;0;0;0;0;in;1628227459765383169;1748735992654119296;ParisNonik;https://twitter.com/ParisNonik/status/1748851396689183227
Sat Jan 20 23:33:03 +0000 2024;1748851159287333345;@AlfredApet57221 @indraja71400636 @DeHoutman_id Tidak pernah ada patung Allah, jangan ngarang, semua nabi aja kami tidak boleh gambar apalagi dibuat patung. Mikir;0;1;0;1;in;1519307015721349121;1748537219554406856;Muhamma70893310;https://twitter.com/Muhamma70893310/status/1748851159287333345
Sat Jan 20 23:31:15 +0000 2024;1748850706571055157;@Hyoga59440799 @indraja71400636 @DeHoutman_id Siapa bilang begitu, jangan ngarang;0;1;0;0;in;1519307015721349121;1748537219554406856;Muhamma70893310;https://twitter.com/Muhamma70893310/status/1748850706571055157
Sat Jan 20 23:30:00 +0000 2024;1748850393805734211;Airlangga Hartarto Ungkap Kampanye Terakhir Partai Golkar Bakal Digelar di IKN #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/aPA6xLkiaU;0;0;15;4;in;721898354502930433;1748850393805734211;golkarpedia;https://twitter.com/golkarpedia/status/1748850393805734211
Sat Jan 20 23:27:15 +0000 2024;1748849701817106875;@maRachmaa_ Bp Nuarta pematung senior pasti punya staff arsitek yg berlisensi juga. masa nuntut dia kuliah arsitek dulu baru bangun IKN? yha lucu namanya 😆🥲  Tadao Ando ga kuliah arsitek, tapi puluhan staffnya jago jago.. lha masa bosnya disuruh kuliah lagi. ANEH 🤷🏻‍♂️;0;1;0;0;in;57971689;1748004018943852847;johnsimonwijaya;https://twitter.com/johnsimonwijaya/status/1748849701817106875
Sat Jan 20 23:25:50 +0000 2024;1748849343388606606;@Dennysiregar7 Karena dia yg akan mengamankan IKN....lot...lot....;0;0;0;0;in;1571315591637766146;1748693581815017675;arabkadroen;https://twitter.com/arabkadroen/status/1748849343388606606
Sat Jan 20 23:23:22 +0000 2024;1748848725475405882;@Dipo_IndONEsia @Dhani_swinger @DeHoutman_id @Mundiwangi4 Yunani punya selera;0;0;0;1;in;1519307015721349121;1748537219554406856;Muhamma70893310;https://twitter.com/Muhamma70893310/status/1748848725475405882
Sat Jan 20 23:21:30 +0000 2024;1748848255210074118;Otorita Ibu Kota Nusantara (OIKN) mencatatkan 345 Letter of Interest (LoI) alias pernyataan minat investasi dari investor dalam dan luar negeri yang ingin ikut bergabung menggarap IKN Nusantara.  Nana Mirdad Bahrain Bali Bank Mandiri Yessica Tamara https://t.co/S9O8qAxo8I;0;3;17;18;in;1710309382293004288;1748848255210074118;Nidyna10;https://twitter.com/Nidyna10/status/1748848255210074118
Sat Jan 20 23:19:46 +0000 2024;1748847818851398122;@abdulalif369 @DeHoutman_id Ogah, sakit tauuu;0;0;0;0;in;1519307015721349121;1748537219554406856;Muhamma70893310;https://twitter.com/Muhamma70893310/status/1748847818851398122
Sat Jan 20 23:17:05 +0000 2024;1748847142582849997;@Dennysiregar7 Sama2 satu tujuan cuan di IKN  😊;0;0;0;0;in;1679641272632631297;1748693581815017675;Yudi30329;https://twitter.com/Yudi30329/status/1748847142582849997
Sat Jan 20 23:15:35 +0000 2024;1748846764701126995;@ganjarpranowo @mohmahfudmd Pak, minta tolong buat pelajari ini, soal masyarakat adat di wilayah IKN. Bukan buat nyerang, tapi buat siap-siap kalo ditanya permasalahan ini: https://t.co/6sLHonBVh4;0;0;0;0;in;62999461;1748704043432656988;meyrzas;https://twitter.com/meyrzas/status/1748846764701126995
Sat Jan 20 23:09:44 +0000 2024;1748845291112202467;@TIGER_W0NG Ntar;0;0;0;2;in;1519307015721349121;1748560711381663926;Muhamma70893310;https://twitter.com/Muhamma70893310/status/1748845291112202467
Sat Jan 20 23:07:38 +0000 2024;1748844763523240413;@Iam_Nobody_1145 Tidak pernah ada;0;1;0;2;in;1519307015721349121;1748738452684935275;Muhamma70893310;https://twitter.com/Muhamma70893310/status/1748844763523240413
Sat Jan 20 23:07:03 +0000 2024;1748844619255910552;@JessicaNeo4 Tidak pernah nyangka di Solo banyak pemakan guk guk, dulu yang biasa makan guk guk sebagian orang Sulawesi, sebagian orang Kalimantan dan sebagian orang Sumatra, suku tertentu. Ternyata oh ternyata;0;0;0;0;in;1519307015721349121;1748731554128601499;Muhamma70893310;https://twitter.com/Muhamma70893310/status/1748844619255910552
Sat Jan 20 23:04:26 +0000 2024;1748843958233624660;@Karina_Wung Taman yang dekat dom ya? Taman Bekapai?;0;0;0;0;in;1519307015721349121;1748735472032272750;Muhamma70893310;https://twitter.com/Muhamma70893310/status/1748843958233624660
Sat Jan 20 23:03:34 +0000 2024;1748843740721217821;@officialvpc Diantos di @VikborOfficial meh apal IKN hehe;1;0;0;0;in;725379211;1748614894080156013;deden_akaw;https://twitter.com/deden_akaw/status/1748843740721217821
Sat Jan 20 23:03:04 +0000 2024;1748843613587652982;@AdrianRoute08 Mamanya anak anak;0;0;0;2;in;1519307015721349121;1748721428730376587;Muhamma70893310;https://twitter.com/Muhamma70893310/status/1748843613587652982
Sat Jan 20 22:59:02 +0000 2024;1748842601049170138;@MorphoMenelausX Aku sempet diskusi dikit tp aku kalah soalnya gabisa jawab tentang IKN, banyak yang gak setuju karena anies terang terangan menolak IKN dan alasan kenapa IKN perlu karena bagus dan akan memajukan Kalimantan Timur.. aku emg kerja di salah satu proyek IKN makannya pada pro..;0;0;0;0;in;1012974046248501248;1748710493655859463;aviecena;https://twitter.com/aviecena/status/1748842601049170138
Sat Jan 20 22:54:33 +0000 2024;1748841472521277591;@wellymerukh Gambut tidak cocok untuk singkong mending tanam padi, tapi sepertinya bukan lahan gambut yang jadi food estate;0;0;0;1;in;1519307015721349121;1748714567298150631;Muhamma70893310;https://twitter.com/Muhamma70893310/status/1748841472521277591
Sat Jan 20 22:52:52 +0000 2024;1748841050486268032;Akankah sejarah berulang? Reklamasi proyek para bohir rezim...Gagal krn Anies jadi Gubernur Gagal reklamasi, muncul IKN, proyek bohir juga...Pertaruhannya besar jika Anies jadi presiden...;0;0;0;0;in;1373215072772755459;1748841050486268032;Kripto46700305;https://twitter.com/Kripto46700305/status/1748841050486268032
Sat Jan 20 22:44:10 +0000 2024;1748838859608399910;@CNNIndonesia Komitmen pak ganjar teruskan IKN;0;0;0;0;in;1708122201881473024;1748591995927584884;snadya766;https://twitter.com/snadya766/status/1748838859608399910
Sat Jan 20 22:42:19 +0000 2024;1748838394141274535;@CNNIndonesia Perubahan itu paslon 1, pak Ganjar akan terus melanjutkan dan merampungkan IKN;0;0;0;0;in;1696567988445700096;1748591995927584884;koboikoo;https://twitter.com/koboikoo/status/1748838394141274535
Sat Jan 20 22:40:42 +0000 2024;1748837984978555062;@CNNIndonesia pak ganjar berkomitmen keberlanjutkan pembangunan ikn;0;0;0;0;in;1719654659831574528;1748591995927584884;VanesaaKeys;https://twitter.com/VanesaaKeys/status/1748837984978555062
Sat Jan 20 22:31:44 +0000 2024;1748835730884038863;@DedynurPalakka Akan berterimakasih krn IKN akan dipenuhi aseng, gituh om?;0;0;0;0;in;1695093786580602880;1748541354513469677;perubahanwajib;https://twitter.com/perubahanwajib/status/1748835730884038863
Sat Jan 20 22:26:32 +0000 2024;1748834420189188114;@MorphoMenelausX kalau aku dengan orang tua sih, pasti masalah IKN (soalnya kami tinggal di kalimantan 😺)  org tua gasuka anies karena kata mereka anies menolak IKN (ga aneh2 amat sih, tapi aku rasa cukup penting);0;5;0;11;in;113012983;1748710493655859463;KakMugi;https://twitter.com/KakMugi/status/1748834420189188114
Sat Jan 20 22:21:08 +0000 2024;1748833063445070251;Membuka jati diri setiap manusia masing masing, ,jadi pemilih no 1 Adalah yg tidak setuju IKN,dan hilirisasi SDA Indonesia, karena kita tahu kubunya , ,pemilih no 2 Adalah krn  sifat orde baru bisa diterapkan,,yakni korupsi kecil kecilan &amp  yg terpenting rakyat kenyang  No3 cerdas;0;0;0;0;in;1549298454869864448;1748833060102226126;GURUKU_85;https://twitter.com/GURUKU_85/status/1748833063445070251
Sat Jan 20 22:20:31 +0000 2024;1748832906297082036;@masghan_ @pejabrut Saya saat ini penempatan di suatu provinsi di papua. ikn tentu lebih dekat dengan jawa, homebase saya. Dan saya melihat akan ada pengalaman baru yg seru aja. Jadi belum ke homebase gakpapa 🤧;0;1;0;0;in;1180616529697595393;1748651063958261999;frimialredi;https://twitter.com/frimialredi/status/1748832906297082036
Sat Jan 20 22:20:31 +0000 2024;1748832905986756954;@DedynurPalakka @NetralID62 Orang butuh kerja, uang, makan bukan IKN, mau seperti ini tolol https://t.co/ZFsOXyHChs;0;0;0;0;in;280221943;1748541354513469677;marga2_nasution;https://twitter.com/marga2_nasution/status/1748832905986756954
Sat Jan 20 22:17:07 +0000 2024;1748832052919857652;@Pokoponyang @legislatweet iya bener gw jga awalnya setuju dgn itu biar ga jawasentris dan jdi simbol. tpi klo kita lihat keadaan rakyat indo saat ini yg buat makan aja susah lho, IKN itu terlalu terburu-buru. visi amin itu kita buat masyarakat mandiri dlu, bisa cari uang sendiri. saat sejahtera, bru IKN https://t.co/i1saNkxIF1;0;0;0;1;in;1108732809915457536;1747975208848478461;halusinasw;https://twitter.com/halusinasw/status/1748832052919857652
Sat Jan 20 22:13:18 +0000 2024;1748831092604592307;@BarCk_14 @kompascom Demi untuk IKN dan dana Alutsista ?;0;0;0;0;in;1315478005133664257;1748717252072096026;ridwan_har;https://twitter.com/ridwan_har/status/1748831092604592307
Sat Jan 20 22:08:45 +0000 2024;1748829948054544466;"@halusinasw @legislatweet Nah bahas pemerataan ya ka, IKN ini sudah berjalan dan mas gibran sendiri ini sudah menyatakan bahwa ini adalah simbol pemerataan pembangunan di indonesia"" , berarti secara ga langsung siapapun presidennya tetep akan melakukan pemerataan betul?""";0;1;0;0;in;1222115199378833408;1747975208848478461;Pokoponyang;https://twitter.com/Pokoponyang/status/1748829948054544466
Sat Jan 20 21:58:28 +0000 2024;1748827358935843121;@Pokoponyang @legislatweet anies dan ganjar sama sama berkualitas sih. tapi yg bkin pembedanya itu di IKN kak, saya tinggal di Sulawesi. mungkin kk krg ngerti tpi ketimpangan sosial dan pembangunan itu jauh gila. daripada dana anggaran all in ke IKN yg dri tanah, menurut saya lebih baik ke pemerataan https://t.co/SAdmE7VNSd;0;0;0;0;in;1108732809915457536;1747975208848478461;halusinasw;https://twitter.com/halusinasw/status/1748827358935843121
Sat Jan 20 21:42:51 +0000 2024;1748823427258241247;Oh ya bener juga karena kan kondisi keuangan negara bakal defisit utk genjot IKN, impor sapi dari India, dan untuk naikin gaji para pejabat. Jadi rakyat dikasih makan siang setidaknya bisa makan sekali sehari.;0;0;0;0;in;78052012;1748823427258241247;truzlover;https://twitter.com/truzlover/status/1748823427258241247
Sat Jan 20 21:38:23 +0000 2024;1748822305680261491;@legislatweet Sebenernya kalo nolak 100% IKN bakalan ngebikin kerugian negara juga seperti Hambalang, terlebih lagi gelontoran dana APBN udah banyak yg masuk ke IKN. Langkah bijak untuk presiden berikutnya entah siapapun itu ya IKN tetap dilanjut namun tidak mengabaikan kota-kota lain.;0;0;0;0;in;1244138379249254400;1748604938618277981;gmprws;https://twitter.com/gmprws/status/1748822305680261491
Sat Jan 20 21:36:13 +0000 2024;1748821758407548998;@farhanadji @MorphoMenelausX Urgensi IKN tuh apa? Apakah lebih penting ngebangun IKN yang untuk pejabat atau lebih penting ngebangun sekolah yang guna mencerdaskan bangsa atau ngebangun rumah sakit untuk keselamatan warga indonesia, jangan lupa sila ke 5 yaitu keadilan sosial bagi seluruh rakyat indonesia;0;0;0;1;in;1247905800430817280;1748710493655859463;sakaalarcon;https://twitter.com/sakaalarcon/status/1748821758407548998
Sat Jan 20 21:31:49 +0000 2024;1748820651924947447;@MorphoMenelausX Bahasan si 02 untuk pak anies 1. Menghianati prabowo dengan nyapres dan offensive menyerang prabowo 2. Dp 0 rupiah  3. Proyek IKN nggak mau diterusin dan proyek pengembangan 40 kota itu mustahil 4. Cuman jago retorika saja minim prestasi   Ini yang kebanyakan dibahas oleh mereka;0;0;0;2;in;1374353420396634118;1748710493655859463;ImaginePsyche;https://twitter.com/ImaginePsyche/status/1748820651924947447
Sat Jan 20 21:31:32 +0000 2024;1748820579669733731;@MentriZii @_freedomstrike @MorphoMenelausX Tambahin, kalo sumur resapan banyak yg gagal salah, itu efektif sumur resapan sekarang dipake di IKN dan solo, lalu kalo dia ngomong banyak yg rusak kasih tau yg rusak jauh lebih sedikit dari pada yang berhasil;0;0;0;0;in;1247905800430817280;1748710493655859463;sakaalarcon;https://twitter.com/sakaalarcon/status/1748820579669733731
Sat Jan 20 21:26:20 +0000 2024;1748819271185252785;@MorphoMenelausX Temen gue yang dukung 02 , selalu bawa² ini: 1. Anies bohong, katanya gamau nyapres 2. Ga berterima kasih sama P 3. Ga bakal lanjutin ikn  4. Ga bisa benahin Jakarta  (paling baru) dia ngerasa P nyalon 4x karena tau ada yang ga beres di indo + katanya pembangunan eco park ga guna;0;0;0;0;in;2606275929;1748710493655859463;xchaerunisahx;https://twitter.com/xchaerunisahx/status/1748819271185252785
Sat Jan 20 21:22:15 +0000 2024;1748818244318933244;Ikn nusantara meningkatkan perekonomian wilayah sekitar https://t.co/ADCY7ZT49K;0;0;0;0;in;312852705;1748818244318933244;Nomahbirashn;https://twitter.com/Nomahbirashn/status/1748818244318933244
Sat Jan 20 21:21:53 +0000 2024;1748818149750055017;Uji coba mobil terbang pada 2024 di ikn nusantara https://t.co/ENqZ47OxeM;0;0;0;0;in;312852705;1748818149750055017;Nomahbirashn;https://twitter.com/Nomahbirashn/status/1748818149750055017
Sat Jan 20 21:21:24 +0000 2024;1748818030333976577;Kualitas jalan tol di ikn nuaantara terbaik di indonesia https://t.co/aP3iV21Kia;0;0;0;0;in;312852705;1748818030333976577;Nomahbirashn;https://twitter.com/Nomahbirashn/status/1748818030333976577
Sat Jan 20 21:21:02 +0000 2024;1748817935919972794;IKN Nusantara meningkatkan perekonomian wilayah sekitar https://t.co/G9OVH2ms2E;0;0;0;0;in;312852705;1748817935919972794;Nomahbirashn;https://twitter.com/Nomahbirashn/status/1748817935919972794
Sat Jan 20 21:18:29 +0000 2024;1748817297026765261;ishalla ikn meri #bbvipal;0;0;0;1;in;1456665937621438464;1748817297026765261;xxhesiiuii;https://twitter.com/xxhesiiuii/status/1748817297026765261
