tokenized_and_stemmed,tweet_english
bagus sekali tag ke ahy demokrat reuni sama candi hambalang ikn odong-odongan ,Very good tag to Ahy Democrat reunion with Hambalang Temple IKN Odong-Odongan
prabowo klaim ikn puas masyarakat kalimantan rakyat sangat antusias,"Prabowo claims that the people of Kalimantan are satisfied, the people are very enthusiastic"
yah dayaknya juga dukung ikn mau maju sendiri daerah mikirin daerah laen,"Yes, Dayaks also support fish that want to develop themselves and think about other areas"
menteri kerja umum rumah rakyat pupr bangun memorial park ibu kota nusantara ikn kalimantan timur bangun memorial park guna hormat jasa pahlawan bangsa nana mirdad bahrain bal bank mandiri yessica tamara,"Minister of Public Works Public House PUPR builds memorial park, capital of the archipelago, IKN East Kalimantan builds memorial park to honor the services of national hero Nana Mirdad Bahrain Bal Bank Mandiri Yessica Tamara"
345 investor minat garap proyek ikn antara china arab saudi oikn catat 345 nyata minat investasi investor dan negeri ingin ikut gabung garap ikn nusantara nana mirdad bahrain bal bank mandiri yessica tamara,"345 investors interested in working on IKN projects between China, Saudi Arabia OIKN recorded 345 real investment interests from investors and countries wanting to join in working on Indonesian IKN Nana Mirdad Bahrain Bal Bank Mandiri Yessica Tamara"
sangat logis orang saat tutup logika pikir prororo cuma wayang master pakdhe bukti program kerja 02 lanjut program pakdhe nah coba bayang bakal nego sama investor ikn siapa prororo lanjut pakdhe sekali ngorbitin samsul,"Very logical people, when they close their logic, they think that Prororo is just a puppet master, Pakdhe, proof of work program 02, continue Pakdhe's program, well, try to imagine who will negotiate with IKN investors, who will Prororo continue, Pakdhe, once you orbit Samsul?"
pernah patung allah jangan ngarang nabi kami boleh gambar buat patung mikir,"Never make a statue of God, don't make up a prophet, we can draw a statue to think"
bilang jangan ngarang,said don't make it up
airlangga hartarto ungkap kampanye akhir partai golkar bakal gelar ikn,Airlangga Hartarto said that the Golkar party's final campaign would hold the IKN title
bp nuarta patung senior punya staff arsitek lisensi masa nuntut kuliah arsitek dulu baru bangun ikn lucu nama  tadao ando kuliah arsitek puluh staffnya jago jago lha masa bos suruh kuliah aneh ,bp nuarta senior statue has a staff of licensed architects when you ask to go to architectural school first then build it funny name tadao ando goes to architectural college for tens of staff who are good at it you know when the boss tells you to go to strange classes
dia akan aman ikn lot lot,he'll be safe ikn lot lot
yunani punya selera,Greece has taste
otorita ibu kota nusantara oikn catat 345 letter of interest loi alias nyata minat investasi investor dan negeri ingin ikut gabung garap ikn nusantara nana mirdad bahrain bal bank mandiri yessica tamara,"The Indonesian capital authority, OIKN, recorded 345 letters of interest, aka real investment interest from investors and the state who want to join in working on IKN Nusantara Nana Mirdad Bahrain Bal Bank Mandiri, Yessica Tamara"
ogah sakit tauuu,"don't get sick, you know"
sama2 satu tuju cuan ikn ,both have one goal of earning money
pak minta buat ajar soal masyarakat adat wilayah ikn bukan buat nyerang buat siap kalo tanya masalah ini,"Sir, I asked you to teach about the indigenous peoples of the IKN region, not to attack, so be ready if you ask about this issue"
ntar,hang on
pernah,Once
