tokenized_and_stemmed,tweet_english,klasifikasi,klasifikasi bayes
kalau aku orang tua sih masalah ikn soal tinggal kalimantan orang tua gasuka anies kata anies tolak ikn aneh2 sih aku rasa cukup penting,"if i'm a parent, the issue of living in kalimantan is that my parents don't like anies. anies says rejecting weird things, i think it's quite important.",Negatif,Negatif
saat tempat suatu provinsi papua ikn lebih dekat jawa homebase dan lihat ada alam baru seru jadi ke homebase gakpapa,"when a place in the province of papua is closer to java's home base and you see new nature, it's exciting, so it's okay to go to home base.",Negatif,Negatif
anies ganjar sama sama kualitas sih bkin beda ikn kak tinggal di sulawesi mungkin kk kurang ngerti tpi timpang sosial bangun jauh gila dana anggar all in ikn yang dri tanah saya lebih baik perata,"anies rewards are the same, the quality is different, bro, i live in sulawesi, maybe you don't understand, but the social imbalance is very crazy, the fencing funds are all in, the fish from my land is better leveled",Negatif,Negatif
hahahha liat banget kau tolol sekarang investor asing udh sedia invest ikn berapa nol  arti kalau ikn lanjut bakal pake apbn trus otak kau bilang dana bagi besar negara lain dukung 02 bodoh kayak kau gin kah,"hahahha i see you are really stupid, now foreign investors are ready to invest in ikn, how much does it mean that if ikn continues, you will use apbn, then your brain says funds for big other countries support 02, stupid like you, right?",Negatif,Negatif
dana ikn bagi besar investasi dri negara kalau buat guru2 negara mana mau investasi apbn pakai ikn hanya persen lain investor jdi gausah bodoh2 banget lah,"ikn funds are for large investments from the state. if it's for teachers, which country wants to invest, the apbn uses ikn, just another percent of investors, so you don't have to be so stupid.",Negatif,Negatif
eh serius penasaran what if calon presiden pilih usung tema ubah which is kontra sama ikn jadi bangun udah jalan sekian persen gin dianggurin gitu kah i mean i don t fully understand what kind of cons they mean,"eh, i'm seriously curious what if the presidential candidate chooses to carry the theme, change which is the cons and ikn, so when i wake up i walk, what percentage of the time is i left idle, is that what i mean, i don't fully understand what kind of cons they mean",Negatif,Negatif
yang pikirin soal ikn org2 kalimantan kata yang tuju perata kata kalimantan maju seperti jakarta pdhl sadar egois banget nget nget bener2 buang anggar buat yang tidak urgent sama sekali ,"those who think about fish, the people of kalimantan, the words that are aimed at developing the words of kalimantan, are developed like jakarta, even though they realize that they are really selfish, they really waste money on things that are not urgent at all.",Negatif,Negatif
iya ttg ikn tmn2 bahkan gatau ikn kalimantan timur bagi kasih tau kalo di kab paser kab kuta kartanegara itu babat hutan mulai bangun 0 anggar minimal 400t lalu saya kasih liat video bicara ttg ikn kaget,"yes, about the tmn2 fish, i don't even know about the east kalimantan fish, let me know that in paser district, kuta kartanegara regency, the forest tripe is starting to build 0 fences of at least 400t then i'll show you a video talking about shocked fish",Negatif,Negatif
ampun benar habis bilang heru tuh bilang asn performa buruk bakal pindah ikn malah jawab mungkin lah itu  padahal bapake 60,"sorry, that's right, after saying heru, you said asn's poor performance would move, but instead he answered, maybe that's it, even though my father is 60",Negatif,Negatif
pilih 03 anti anies paham kalau negara akomodasi golput  -krn trauma jadi 212 anies ride the wave makan isu anies setir us tidak lanjut ikn pola pikir nya sama yang golput ikn bikin perata cara biasa pas diskusi adl cont,vote 03 anti-anies understands that the accommodation country is abstaining - because of the trauma of being 212 anies ride the wave eating the issue of anies steering us not continuing ikn the mindset is the same as those who abstained ikn making the usual method during the discussion is cont,Negatif,Negatif
