tokenized_and_stemmed,tweet_english,klasifikasi
yah dayaknya juga dukung ikn mau maju sendiri daerah mikirin daerah laen,"yes, dayaks also support fish that want to develop themselves and think about other areas",Negatif
ogah sakit tauuu,"don't get sick, you know",Negatif
aku sempat diskusi dikit aku kalah soal gabisa jawab ikn yang tuju anies terang terang tolak ikn alas ikn perlu bagus akan maju kalimantan timur aku memang kerja salah satu proyek ikn makan pro,"i had a little discussion, i lost the question, i couldn't answer the fish that anies was aiming for, he clearly rejected the fish, the base of the fish needs to be good, it will advance in east kalimantan, i'm actually working on one of the pro-food fish projects",Negatif
akan sejarah ulang reklamasi proyek bohir rezim gagal anies jadi gubernur gagal reklamasi muncul ikn proyek bohir taruh besar anies jadi presiden,will re-history reclamation bohir project regime failed anies becomes governor failed reclamation appears ikn bohir project makes big bet anies becomes president,Negatif
kalau aku orang tua sih masalah ikn soal tinggal kalimantan orang tua gasuka anies kata anies tolak ikn aneh2 sih aku rasa cukup penting,"if i'm a parent, the issue of living in kalimantan is that my parents don't like anies. anies says rejecting weird things, i think it's quite important.",Negatif
saat tempat suatu provinsi papua ikn lebih dekat jawa homebase dan lihat ada alam baru seru jadi ke homebase gakpapa,"when a place in the province of papua is closer to java's home base and you see new nature, it's exciting, so it's okay to go to home base.",Negatif
orang butuh kerja uang makan bukan ikn mau ini tolol,"people need work, money to eat, don't want to, this is stupid",Negatif
anies ganjar sama sama kualitas sih bkin beda ikn kak tinggal di sulawesi mungkin kk kurang ngerti tpi timpang sosial bangun jauh gila dana anggar all in ikn yang dri tanah saya lebih baik perata,"anies rewards are the same, the quality is different, bro, i live in sulawesi, maybe you don't understand, but the social imbalance is very crazy, the fencing funds are all in, the fish from my land is better leveled",Negatif
ubah ikn jadi hutan rimba  ubah jalan tol jadi sawah  ubah umk kita dari 4 500 000 - jadi 1 500 000 -  kita ubah presiden kita dari orang pribumi jadi orang asing yaman  ngeri kali ustadz kita ini bah,"change fisheries into jungles, change toll roads into rice fields, change our salary from 4,500,000 - to 1,500,000 - we change our president from a native to a yemeni foreigner, how scary is our ustadz?",Negatif
hahahha liat banget kau tolol sekarang investor asing udh sedia invest ikn berapa nol  arti kalau ikn lanjut bakal pake apbn trus otak kau bilang dana bagi besar negara lain dukung 02 bodoh kayak kau gin kah,"hahahha i see you are really stupid, now foreign investors are ready to invest in ikn, how much does it mean that if ikn continues, you will use apbn, then your brain says funds for big other countries support 02, stupid like you, right?",Negatif
