tokenized_and_stemmed,tweet_english,klasifikasi
bagus sekali tag ke ahy demokrat reuni sama candi hambalang ikn odong-odongan ,very good tag to ahy democrat reunion with hambalang temple ikn odong-odongan,Positif
prabowo klaim ikn puas masyarakat kalimantan rakyat sangat antusias,"prabowo claims that the people of kalimantan are satisfied, the people are very enthusiastic",Positif
345 investor minat garap proyek ikn antara china arab saudi oikn catat 345 nyata minat investasi investor dan negeri ingin ikut gabung garap ikn nusantara nana mirdad bahrain bal bank mandiri yessica tamara,"345 investors interested in working on ikn projects between china, saudi arabia oikn recorded 345 real investment interests from investors and countries wanting to join in working on indonesian ikn nana mirdad bahrain bal bank mandiri yessica tamara",Positif
sangat logis orang saat tutup logika pikir prororo cuma wayang master pakdhe bukti program kerja 02 lanjut program pakdhe nah coba bayang bakal nego sama investor ikn siapa prororo lanjut pakdhe sekali ngorbitin samsul,"very logical people, when they close their logic, they think that prororo is just a puppet master, pakdhe, proof of work program 02, continue pakdhe's program, well, try to imagine who will negotiate with ikn investors, who will prororo continue, pakdhe, once you orbit samsul?",Positif
bp nuarta patung senior punya staff arsitek lisensi masa nuntut kuliah arsitek dulu baru bangun ikn lucu nama  tadao ando kuliah arsitek puluh staffnya jago jago lha masa bos suruh kuliah aneh ,bp nuarta senior statue has a staff of licensed architects when you ask to go to architectural school first then build it funny name tadao ando goes to architectural college for tens of staff who are good at it you know when the boss tells you to go to strange classes,Positif
dia akan aman ikn lot lot,he'll be safe ikn lot lot,Positif
otorita ibu kota nusantara oikn catat 345 letter of interest loi alias nyata minat investasi investor dan negeri ingin ikut gabung garap ikn nusantara nana mirdad bahrain bal bank mandiri yessica tamara,"the indonesian capital authority, oikn, recorded 345 letters of interest, aka real investment interest from investors and the state who want to join in working on ikn nusantara nana mirdad bahrain bal bank mandiri, yessica tamara",Positif
pak minta buat ajar soal masyarakat adat wilayah ikn bukan buat nyerang buat siap kalo tanya masalah ini,"sir, i asked you to teach about the indigenous peoples of the ikn region, not to attack, so be ready if you ask about this issue",Positif
pernah nyangka solo makan guk guk dulu biasa makan guk guk bagi orang sulawesi bagi orang kalimantan bagi orang sumatra suku tentu nyata nyata,"have you ever thought that solo eats woof woof, used to eat woof woof, for sulawesi people, for kalimantan people, for sumatran people, the tribe is certainly real, real.",Positif
taman dekat dom ya taman bekapai,the park near the house is bekapai park,Positif
gambut cocok singkong mending tanam padi seperti bukan lahan gambut jadi food estate,"peat is suitable for cassava, it's better to plant rice instead of peat land to become a food estate",Positif
ubah paslon 1 pak ganjar terus lanjut rampung ikn,"change the candidate pair, 1 pack of rewards and continue to complete the ikn",Positif
berterimakasih ikn penuh aseng gituh om,"thank you, i'm full of fun, uncle",Positif
buka jati diri manusia masing masing jadi pilih no 1 tuju ikn hilir sda indonesia kita tahu kubu pilih no 2 karena sifat orde baru terap korupsi kecil kecil amp yang penting rakyat kenyang no3 cerdas,"open the identity of each human being, so choose number 1 for downstream fish in indonesia, we know that the camp chooses number 2 because of the nature of the new order, small and small corruption applies, and the important thing is that the people are full, number 3 is smart",Positif
iya benar jga awal tuju tidak jawasentris jdi simbol tpi kalau lihat ada rakyat indo ini buat makan susah lho ikn terlalu buru visi amin itu kita buat masyarakat mandiri dlu cari uang sendiri sejahtera bru ikn,"yes, it's true that the initial goal is not to be javacentric as a symbol, but if you see that there are indonesian people, it's hard for them to eat, you know, i'm too hasty in my vision, amen, we're going to make society independent, first earn our own money and be prosperous, bro.",Positif
nah bahas perata ka ikn sudah jalan mas gibran sendiri sudah nyata ini simbol perata bangun indonesia arti tidak langsung siapa presiden tetep laku perata betul,"well, let's talk about perata ka, it's already running, mas gibran himself, it's obvious, this is the indonesian symbol for perata, the indirect meaning of who is the president, it's still going to be true.",Positif
ya benar karena kan kondisi uang negara bakal defisit genjot ikn impor sapi india untuk naikin gaji jabat jadi rakyat kasih makan siang bisa makan sekali hari,"yes, that's right, because the condition of the state's money will be in deficit, increasing imports of indian cattle to increase official salaries so that people who give lunch can eat once a day.",Positif
sebenernya kalo nolak 100 ikn bakal ngebikin rugi negara seperti hambalang lebih gelontor dana apbn udah yang masuk ikn langkah bijak presiden ikut entah siapa ya ikn tetap lanjut tidak abai kota,"in fact, if you refuse 100 ikn, it will cause losses to the state, like it would be a waste of more apbn funds already coming in. i don't know who the president is taking a wise step, i'm still going to continue without ignoring the city",Positif
urgensi ikn tuh apa lebih penting ngebangun ikn jabat lebih penting ngebangun sekolah guna cerdas bangsa ngebangun rumah sakit untuk selamat warga indonesia jangan lupa sila 5 adil sosial seluruh rakyat indonesia,"what's the urgency of building an office? what's more important is building a school for the intelligent nation, building a hospital for the safety of indonesian citizens, don't forget the 5 principles of social justice for all indonesian people.",Positif
bahas si 02 pak anies 1 menghianati prabowo nyapres offensive serang prabowo 2 dp 0 rupiah 3 proyek ikn mau diterusin proyek kembang 40 kota mustahil 4 cuman jago retorika minim prestasi yang banyak bahas mereka,discuss the 02 pak anies 1 betraying prabowo running for president offensively attacking prabowo 2 dp 0 rupiah 3 fish project wants to continue flower project 40 impossible cities 4 only good at rhetoric minimal achievements they discuss a lot,Positif
tambahin kalo sumur resap gagal salah efektif sumur resap dipake ikn solo lalu kalo ngomong yang rusak kasih tau yang rusak jauh lebih dari yang hasil,"add that if the absorption well fails, the absorption well is effective if it is used solo fish then if you talk about what is damaged, tell me that the damage is much more than the result",Positif
temen gue dukung 02 selalu bawa ini 1 anies bohong kata gamau nyapres 2 terima kasih sama p 3 bakal lanjutin ikn 4 bisa benahin jakarta paling baru ngerasa p nyalon 4x tau yang beres indo kata bangun eco park guna,my friends support 02 always bring this 1 anies lied saying he doesn't want to run for president 2 thank you p 3 will continue with ikn 4 can fix jakarta most recently felt p running 4x know what's going on indo says build eco park guna,Positif
ikn nusantara tingkat ekonomi wilayah,indonesian archipelago regional economic level,Positif
kualitas jalan tol ikn nuaantara baik indonesia,the quality of the ikn nuaantara toll road is good in indonesia,Positif
ikn nusantara tingkat ekonomi wilayah,indonesian archipelago regional economic level,Positif
ikn waris si bandit segera jadi buka pintu jeblos si bandit penghianat seret masuk penjara nusakambangan hilir proyek apbn psn penuh korup amp nepotisme akan jadi tabir nya bangsat jokowi rampok uang rakyat,the bandit's inheritance will soon open the door. the traitorous bandit will be dragged into prison in nusakambangan downstream. the apbn psn project is full of corruption and nepotism. this will be the cover for jokowi's son of a bitch robbing people's money.,Positif
rakyat butuh ikn rakyat butuh hidup kerja layak sejahtera ke makmur seluruh rakyat indonesia rakyat butuh ubah,the people need money. the people need a decent working life to prosper for all indonesian people. the people need change,Positif
bismillah aww yuk investor partisipasi doa usaha dukung kembang unggul kalimantan timur jadi ikn segala baik investor milik tuhan yang mahaesa segingga wujud yang amanat dahulu aamiin aww,"bismillah aww come on, investors, participate, pray for business, support the superior development of east kalimantan, so all good investors belong to the almighty god, so that the form of the first mandate, amen, aww",Positif
prabowo rakyat kalimantan antusias perintah tetap ikn kaltim,"prabowo, the people of kalimantan are enthusiastic about the order to maintain ikn east kalimantan",Positif
